"","year","trend.1","ymin.1","ymax.1","trend.2","ymin.2","ymax.2"
"1",1985,0.403050351036134,-1.49598915563388,2.30208985770615,2.2662920605179,0.638916059415107,3.8936680616207
"2",1986,1.00709251704607,-0.775671456054817,2.78985649014697,2.82777272263535,1.29916712122462,4.35637832404609
"3",1987,1.33711984623184,-0.39405891452213,3.06829860698582,2.58040897042935,1.08844489548674,4.07237304537196
"4",1988,2.24070925142603,0.558898906036654,3.92251959681541,2.41775019516331,0.965339883606629,3.87016050671998
"5",1989,2.15592031444648,0.490006638452643,3.82183399044031,2.83357845125639,1.39189107640533,4.27526582610745
"6",1990,1.89031757275437,0.240643485219906,3.53999166028883,3.19752991565655,1.76809613825989,4.62696369305321
"7",1991,1.62799004584729,0.00897902137687812,3.2470010703177,3.11922609137779,1.71304303959745,4.52540914315813
"8",1992,1.92285411847553,0.375767469427837,3.46994076752323,2.92526678450218,1.57198520869213,4.27854836031224
"9",1993,0.955340246014933,-0.398764208652765,2.30944470068263,2.9096944252057,1.67863558467627,4.14075326573513
"10",1994,0.468022102384758,0.0212321102502335,0.914812094519282,3.08813854663206,2.08342539288375,4.09285170038038
"11",1995,1.12359332096913,0.683501955143208,1.56368468679505,3.06022625045514,2.08302242906945,4.03743007184083
"12",1996,0.00147458902070802,-0.437418712285358,0.440367890326774,2.30440558635547,1.33063277758875,3.27817839512219
"13",1997,0.565498262769524,0.132425583979055,0.998570941559994,2.30042860953258,1.3487305796244,3.25212663944077
"14",1998,0.650099706905464,0.218558499957417,1.08164091385351,2.15092399324415,1.20299015623277,3.09885783025553
"15",1999,-0.140662463720575,-0.566774422493807,0.285449495052658,1.64497380404449,0.699599659626597,2.59034794846239
"16",2000,-0.247476291319779,-0.673551679262528,0.178599096622969,1.61260019852393,0.667311468124615,2.55788892892325
"17",2001,1.08902104660852,0.662155233394093,1.51588685982294,1.77599730363579,0.82909222465415,2.72290238261743
"18",2002,1.77246074679655,1.34638717687023,2.19853431672287,1.84505356458382,0.89977510718835,2.79033202197929
"19",2003,1.96586061197751,1.53980426579437,2.39191695816064,1.01744115463957,0.0722536232248063,1.96262868605433
"20",2004,1.25244389090601,0.826388333120968,1.67849944869105,0.31908674762533,-0.626095921959032,1.26426941720969
"21",2005,0.643791686541357,0.217736169572497,1.06984720351022,0.113690985034902,-0.831491426704863,1.05887339677467
"22",2006,-0.778456793486456,-1.2045123083018,-0.352401278671114,-0.145244489888902,-1.09042688797223,0.79993790819443
"23",2007,-0.0558886711466811,-0.481944185848171,0.370166843554809,-0.0956009231028887,-1.0407833204638,0.849581474258027
"24",2008,-0.264132426842295,-0.690187941539931,0.16192308785534,-0.763551643847128,-1.70873404118358,0.18163075348932
"25",2009,0.10151036346976,-0.324545151268688,0.527565878208209,-1.02965186749735,-1.97483426509281,-0.0844694699019007
"26",2010,0.428712510183017,0.00265699466762853,0.854768025698406,-0.678960140228067,-1.62414254275316,0.266222262297023
"27",2011,0.43372442076789,0.00766889056644676,0.859779950969334,-0.720323539401067,-1.66550603502129,0.224858956219154
"28",2012,-0.199705665210676,-0.625761474279929,0.226350143858577,0.0880302745552497,-0.85715397853516,1.03321452764566
"29",2013,1.00223106843139,0.576169812559336,1.42829232430345,0.634482881868108,-0.310734481039807,1.57970024477602
"30",2014,-0.992720315024642,-1.41890675849399,-0.566533871555298,0.270562723992836,-0.675270313931552,1.21639576191722
"31",2015,-1.31115205178211,-1.74307080935747,-0.879233294206746,0.0245962606636392,-0.93175398495439,0.980946506281669
"32",2016,-1.99986876998692,-3.06376478159815,-0.935972758375678,-0.652102108914589,-1.71108357799144,0.40687936016226
"33",2017,-3.43950795402519,-4.59422746234403,-2.28478844570635,-1.79375142485201,-2.87897626487832,-0.708526584825699
"34",2018,-3.70389450926351,-4.13729697869851,-3.27049203982851,-2.68192081595188,-3.64201016203141,-1.72183146987236
"35",2019,-2.01883437661441,-2.45114343445243,-1.58652531877639,-5.2445218258203,-6.20162543911521,-4.28741821252538
"36",2020,0.0712078650762307,-1.02456103844546,1.16697676859792,-8.19094161591527,-9.24537883423865,-7.1365043975919
"37",2021,-0.535245103239267,-0.968335112885332,-0.102155093593201,-8.3263081324592,-9.28834484414785,-7.36427142077054
"38",2022,-1.7042381716557,-2.15187059338567,-1.25660574992573,-7.96036796206198,-9.0075198227035,-6.91321610142046
