"","year","trend","ymin","ymax"
"1",1985,3.23584917490373,1.07813558547011,5.39356276433736
"2",1986,3.78297942198704,1.89982977380519,5.66612907016888
"3",1987,3.56123142006442,1.7324343039989,5.39002853612994
"4",1988,3.46541841445759,1.5861046347811,5.34473219413408
"5",1989,3.26765188874554,1.47838024671415,5.05692353077692
"6",1990,3.51932852219732,1.77088631649045,5.2677707279042
"7",1991,2.779570287333,0.921102739117601,4.63803783554841
"8",1992,1.67580049218955,-0.13033409863089,3.48193508300999
"9",1993,0.637841481993977,-1.18976076924449,2.46544373323244
"10",1994,-0.246564297912924,-2.05789700104116,1.56476840521531
"11",1995,-0.888094683671591,-2.62457036383824,0.848380996495057
"12",1996,-0.673417227440942,-2.46785749217887,1.12102303729699
"13",1997,-0.365707031922269,-2.13637384369923,1.40495977985469
"14",1998,-0.370725635707248,-2.00035949365785,1.25890822224336
"15",1999,-0.767693409773213,-2.4324402673604,0.89705344781397
"16",2000,-1.21484753943903,-2.86834067805359,0.438645599175528
"17",2001,-0.560538177798383,-2.1340868557993,1.01301050020253
"18",2002,-0.390014519040952,-1.93127147453414,1.15124243645224
"19",2003,-0.44403238269955,-1.98879756885041,1.10073280345131
"20",2004,-0.581257466016929,-2.10603715434857,0.943522222314713
"21",2005,-0.622003849937941,-2.05164871992365,0.807641020047769
"22",2006,-1.58124402094165,-2.9955808100445,-0.166907231838808
"23",2007,-2.50109915150585,-3.92607869798997,-1.07611960502174
"24",2008,-2.78245965124305,-4.28186529199814,-1.28305401048795
"25",2009,-2.51378917558241,-3.93819974043618,-1.08937861072865
"26",2010,-1.96667359910467,-3.37780767915168,-0.555539519057663
"27",2011,-1.93488482551789,-3.34685419456549,-0.522915456470284
"28",2012,-1.72074695031412,-3.14960950041394,-0.291884400214294
"29",2013,-1.71190880741181,-3.12723734006056,-0.296580274763057
"30",2014,-0.503869827303892,-1.93525304626071,0.927513391652924
"31",2015,-0.0315781385812611,-1.4586527119908,1.39549643482828
"32",2016,0.974862645829623,-0.518234600027661,2.46795989168691
"33",2017,0.830844452503937,-0.597378606384459,2.25906751139233
"34",2018,1.74271066913379,0.303795453271785,3.1816258849958
"35",2019,1.91839644716763,0.462968203227222,3.37382469110803
"36",2020,2.13939083509817,0.502867449795717,3.77591422040063
"37",2021,2.06381041181903,0.4855479884664,3.64207283517167
"38",2022,1.90207418843812,0.155543120690252,3.64860525618599
