Name,COMU_Chow,TBMU_Chow,HPUFF_Chow,TPUF_Chow,BLK_Chow,PAUK_Chow,TPUF_Amat,BLK_ Amat,FTSP_Amat
1990,0.59,0.43,NA,NA,0,NA,NA,NA,NA
1991,0.49,0.52,NA,NA,0,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,0.51,0.43,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,0.49,0.4,NA,NA,0.18,NA,0.53,0.8,NA
1996,NA,NA,NA,NA,NA,NA,0.6,0.66,NA
1997,NA,NA,NA,NA,NA,NA,0.36,0.31,NA
1998,0.3,0.13,1,NA,0.05,0.3,0.23,0.07,0.03
1999,NA,NA,NA,NA,NA,NA,0.58,0.43,0.15
2000,NA,NA,NA,NA,NA,NA,0.37,0.43,0.04
2001,NA,NA,NA,NA,NA,NA,0.57,0.56,0.07
2002,0.57,0.4,NA,NA,0.38,0,0.68,0.69,0.14
2003,NA,NA,NA,NA,NA,NA,0.56,0.5,0.11
2004,0.52,0.29,0.13,NA,0.07,NA,0.63,0.06,0.17
2005,0.58,0.43,0.53,0.63,0.13,0.33,0.61,0.04,0.18
2006,0.57,0.51,0.65,0.36,0.46,0.74,0.56,0.53,0.23
2007,0.52,0.48,0.44,0.13,0.18,0.25,0.58,0.03,0.18
2008,NA,NA,NA,NA,NA,NA,0.66,0.4,0.08
2009,0.56,0.4,0.27,0.4,0,0.23,0.86,0.01,0.12
2010,0.44,0.42,0.57,0.26,0.22,0.58,0.47,0.09,0.09
2011,0.15,0.08,0.05,0,0,0.15,0.46,0,0.1
2012,0.57,0.53,0.4,0.43,0.04,0.41,NA,NA,NA
2013,0.45,0.32,0.16,0.29,0.01,0.33,0.23,0.41,0.1
2014,0.61,0.44,0.54,0.76,0.51,0.44,0.4,0.11,0.14
2015,0,0,0.03,0.31,0,0.29,NA,NA,NA
2016,0.48,0.42,0.74,0.81,0.32,0.74,NA,0,0.1
2017,0.66,0.53,0.06,0.02,0.22,0.46,0.37,0.1,0.09
2018,0.66,0.56,0.67,0.61,0.35,0.14,0.39,0.09,0.09
2019,0.71,0.53,0.34,0.77,0,0.43,0.42,0.45,0.03
2020,NA,NA,NA,NA,NA,NA,NA,0.27,NA
2021,0.63,0.32,0.35,0.81,0.12,0.34,0.55,0.36,0.02
2022,0.74,0.54,0.71,0.71,0.68,0.25,0.42,0.34,0.11
